source_commit_sha,commit_timestamp_utc,commit_message,changed_paths,proof_scope_status,proof_atoms_emitted,exclusion_reason,notes
1cb4465c7287ad732e627781df33636eb9d20589,2026-07-12T23:18:10Z,"Canonical Concepts: ingest 2026-05-26 Logic Core source","AdroitechLogic/Canonical Concepts/Adroitech OS Logic Core Archive.md",reviewed_relevant,15,"","Foundational Core proof. Review: coverage/reviews/2026-07-12_1cb4465c7287ad732e627781df33636eb9d20589.md. PRE-GIT ORIGIN CORROBORATED: authorized Google Drive directly resolves native Doc `AdroitechOS_logicCore`, ID 1ZyDWTukjTNtdqVBfJBoh7Dvzaq8YT8UO2WzzY9Rp54g, provider-created 2026-05-26T14:16:21.802Z and updated 2026-05-26T14:16:22.592Z. This independently corroborates existence of the exact-titled Drive object before Git ingestion; exact-content identity with the Markdown transcription remains pending comparison."
00440a2ae743e8507eba4215ec45ce0c69d166bc,2026-07-13T00:22:57Z,"Compliance ledger: add 2026 federal estimated-tax obligations","AdroitechLogic/Legal and Compliance/compliance_ledger.md",reviewed_relevant_pending_origin_atomization,9,"","CORRECTED: Business Edition proof-of-concept, not unrelated exclusion. Evidence-controlled organizational state; meaningful-change notification suppression; structured obligation modeling; explicit evidence-gap retention; evidence-to-operational-state propagation; stale-instruction rejection/recalculation; dependency-driven workflows; protected-source minimization; verification-context recording. Asset disposition: reviewed_no_asset_event."
0ff53cf279287ea67cbf7cffcc2880e2cd81bfc8,2026-07-14T07:20:17Z,"Compliance watch: verify no material change on 2026-07-14","AdroitechLogic/Legal and Compliance/compliance_ledger.md",reviewed_relevant_pending_origin_atomization,5,"","Business Edition proof-of-concept: periodic evidence-backed state verification; material-change gating; threshold-aware notification deduplication; unresolved-state persistence; and multi-rail verification with bounded operational output. Git blob 6c0985311c7b7db537f161886832a75c54e83923. Review: coverage/reviews/2026-07-14_0ff53cf279287ea67cbf7cffcc2880e2cd81bfc8.md. Independent SHA-256/byte length and earliest origin remain pending exact-byte materialization/predecessor tracing. Asset disposition: reviewed_no_asset_event."
610c9f0098fbccf5b8395348eb2d24ad71c67643,2026-07-16T22:25:32Z,"Add Mecklenburg County July 2026 sales tax obligation","AdroitechLogic/Legal and Compliance/Taxes/2026-07-17_mecklenburg_sales_tax_rate_change.md",reviewed_relevant_pending_origin_atomization,8,"","CORRECTED: Business Edition proof-of-concept, not unrelated exclusion. Regulatory-change ingestion; effective-date-bound state; jurisdiction-aware applicability; evidence-to-action translation; verification gating; meaningful-change notification; controlled non-change boundaries; separation of documentary dates from Git chronology. Asset disposition: reviewed_no_asset_event."
ca740211a54e4e1d63cee3f317a4b03fba38838c,2026-08-02T03:54:37Z,"Link detailed web platform handoff and rolling resume","AdroitechLogic/Builds/README.md",reviewed_relevant_pending_origin_atomization,18,"","Git parent 83b8437d072cdd47a6cf5596d7171c966ac3c28e; tree a066444e8972194cccdd33a83e417cc228398815; blob 74d3b604e87003b4aaaf9df354eba456a6790b62; 29 additions/17 deletions. Layered continuity records, mandatory pre-change context recovery, production-baseline-first sequencing, owner-controlled SSO/break-glass, evidence-preserving recovery, read-only inventories, bounded authenticated edge enrollment, and cross-domain Business Edition operating matrix. Review: coverage/reviews/2026-08-02_ca740211a54e4e1d63cee3f317a4b03fba38838c.md. Exact byte length/SHA-256 and first-origin claims pending. Private asset references: needs_reconciliation."
68fdb081a43d3955d41cfcd84a67e252fbe99861,2026-08-02T03:55:08Z,"Record cross-thread resume and web platform continuity update","AdroitechLogic/Run Receipts/2026-08-01_cross_thread_resume_and_web_platform_handoff.md",reviewed_relevant_pending_origin_atomization,12,"","VERIFIED METADATA CORRECTION: Git author and committer timestamp both 2026-08-02T03:55:08Z; parent ca740211a54e4e1d63cee3f317a4b03fba38838c; tree 56739c8427c85f2cbf2a2ca969ed6b349b579d25; added blob 2eeccb9d14284e1b158f9ce23566657261d33542; 97 additions. Cross-thread repository bootstrap; rolling fast-start checkpoints; mandatory startup order; session-close persistence; compact/deep state separation; verification-boundary preservation; safety-gated continuation; commit-receipt provenance; operator-directed continuity; multi-domain Business Edition continuity; reduced repeated context reconstruction; exact-next-action handoff. Asset references require private-ledger reconciliation."
580f5cf801b4dcace537d4ecb6980d6bee35c140,2026-08-02T10:06:48Z,"Align active portfolio with August 2026 live state","00_COMMAND_CENTER/ACTIVE_PROJECTS.md",reviewed_relevant_pending_atomization,0,"","Direct review found multiple execution/evidence mechanisms. Final APEP atom IDs remain pending exact-byte SHA-256 and predecessor/origin checks; substantive review is preserved at coverage/reviews/2026-08-02_580f5cf801b4dcace537d4ecb6980d6bee35c140.md."
59d3e40110a374934e8252871b6dc47fb91ee7f9,2026-08-17T14:43:43Z,"Create 2026 finance and tax workpaper seed","AdroitechLogic/Finance/2026-08-17_FINANCE_TAX_WORKPAPER_SEED.md",reviewed_relevant_pending_origin_atomization,22,"","Business Edition evidence/reconciliation architecture. Git parent dcb2d66256062351b375026dcd8971a9ac1ce60e; tree cc8d938d6012b323be5e6a3d1b36c1e5b8efa6b9; blob 9d470677af337a79f6322e5861b1fe8601aba0ec; exact Git tree byte length 8525; 159 additions/0 deletions; author and committer UTC 2026-08-17T14:43:43Z. Adds asset-to-finance identity bridge, ownership/contribution state model, placed-in-service state, and entity-specific reconciliation to prior evidence atoms. UPS and personally funded hardware classes require private reconciliation. Independent SHA-256 and first-conception origins remain pending. Review: coverage/reviews/2026-08-17_59d3e40110a374934e8252871b6dc47fb91ee7f9.md."
0eaf59088f861f9a7f4a72618b9061c07b4972ee,2026-08-22T21:47:58Z,"Reconcile 2026 tax evidence and payment status","AdroitechLogic/Finance/2026-08-22_TAX_EVIDENCE_RECONCILIATION.md",reviewed_relevant_pending_atomization,0,"","Exact reviewed source: Git blob 7513a21fd1d13a2283413bd18bfcf4b0ceed523e; 2650 bytes; SHA-256 2f296731a0b838454cbbfa60f6a9e2114010264743e23792d2fa4a1ad3011d68. Twelve candidate evidence/reconciliation atoms preserved in coverage/reviews/2026-08-22_0eaf59088f861f9a7f4a72618b9061c07b4972ee.md. Final atom IDs remain withheld pending predecessor/origin checks."
f0051f31731f990067ad4776a2eaef62eef7c376,2026-08-29T22:25:48Z,"Add August 2026 full continuity sync","AdroitechLogic/Run Receipts/2026-08-29_AUGUST_2026_MONTH_END_CONTINUITY_SYNC.md",reviewed_relevant_pending_atomization,0,"","Git blob 428c53a28e1c9e66c76bc98502dc683fe5b20811; 454 added lines. Thirty-two candidate continuity, sovereignty, evidence, acceptance-gate, human-control, recovery, and reusable-knowledge atoms preserved at coverage/reviews/2026-08-29_f0051f31731f990067ad4776a2eaef62eef7c376.md. Exact byte length/SHA-256 and first-conception origins remain pending predecessor checks."
