record_id,source_repository,source_commit,source_path,source_sha256,preservation_mode,content_rule,status
"CL-001","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Adroitech Logic Core Recalibrated.html","c3b3f5a96fe4d02f0a026f4552bde1433b813e28f3d816b4ea05d5ff6d052be0","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-002","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/AI Clarifies Its Digital Boundaries.html","f24ec3947ac38c67612114f2499d597d9e2dca33def51c5ad5ef3038d13e3986","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-003","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Identity Matrix Analysis_ Operational Sovereig.html","8dfcce61f2574dcd2d601af7bded7d6eddf7d29ed473fd3e4dced75f21a89bac","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-004","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Identity Matrix_ Architect_s Next Move.html","c69132d50fa3c82b40d5b0b3e679b7d208219847f24ece7a595a8668fe035854","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-005","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Architect_s Next Build Vector.html","f6b16b1e4ea32cba6607393c6adc780d07a91cec0425d3fde3e5ba7233da5dbf","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-006","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Adroitech Theme Song Analysis.html","aa0445e827d907e8cb6a2dddc4804f8e2faecf4102714e093f8b38d9c00f50db","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-007","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Nas_s _Life We Chose_ as Directive (1).html","343bd3edacba1f814a37c92ce475119665488f621f04edb8853c044fc9ee4c92","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-008","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/_Ghetto Prisoners_ Mindset Blueprint.html","ef48e18e0ca277945c9814dc601702ed88f8327e4c28faba91f1f04a4d66ca91","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-009","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Nas_s _Ghetto Prisoners_ as Operational Direct.html","3b946b4520b97b77f111324abec5d4d71da562973196d891a262dec99ae9717d","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
"CL-010","krias1/Adroitech-Logic-Core","201ee9398a788c32e4e89bdc1b2bd6f2b4e07f86","AdroitechLogic/GemChats/Nas_s _One Mic_ as Operational Directive.html","cea0ed0e6f7852e960670a7729e4303f007599d39e650b4141f5c555411314ce","PINNED_EXACT_SOURCE","DO_NOT_REWRITE_OR_NORMALIZE","FROZEN_REFERENCE"
