question_id,priority,stage,examiner_or_reviewer_question,authority,current_status,current_answer_or_route,evidence_route,missing_answer,next_action
EQ-001,P0,claim_understanding,"What precisely is the invention sought to be patented, and what does each claim actually require?","MPEP 2103",OPEN,"P1 is frozen and described, but no final nonprovisional claim set is present in the proof front door.","P1/P1_FILING_ANCHOR.md; P1/P1_SUPPORT_MATRIX.csv","Final independent/dependent claims and limitation decomposition.","Draft/import actual claim set; create stable limitation IDs."
EQ-002,P0,priority,"Which exact limitations are entitled to the 2026-09-16 P1 benefit date?","35 USC 119(e); MPEP 211",PARTIAL,"P1 support matrix exists but many coordinates remain evidence_linking_in_progress and final claims are absent.","P1/P1_SUPPORT_MATRIX.csv; P1/P1_FILING_ANCHOR.md","Limitation-by-limitation priority chart for actual claims.","Map every final limitation to exact P1 specification/figure coordinates."
EQ-003,P0,filing_record,"What is the official P1 filing date and application record?","USPTO filing record / Filing Receipt",OPEN,"Acknowledgement and frozen artifact anchor exist; formal Filing Receipt reconciliation remains open.","P1/P1_FILING_ANCHOR.md","Formal USPTO Filing Receipt and exact reconciliation.","Capture Filing Receipt; preserve exact bytes/hash and reconcile."
EQ-004,P0,101,"Is each claim to a statutory category?","35 USC 101; MPEP 2106",OPEN,"Cannot close until final claims exist.","P1/NONPROVISIONAL_CLAIM_READINESS.csv","Claim-by-claim statutory-category designation.","Classify every final claim."
EQ-005,P0,101,"Does each claimed invention have a specific, substantial, and credible utility?","MPEP 2103 / 2107",PARTIAL,"Operational evidence exists in the source universe, but utility is not mapped claim-by-claim.","P1/NONPROVISIONAL_CLAIM_READINESS.csv; data/proof_records.jsonl","Concrete utility evidence tied to each actual claim.","Route pre-P1 implementation/use evidence to each claim."
EQ-006,P0,101,"For software/AI claims, is each claim patent-eligible rather than merely an abstract idea without sufficient practical application/significantly-more limitations?","MPEP 2106",OPEN,"Technical mechanisms are documented, but no final claim-by-claim eligibility analysis is complete.","P1/NONPROVISIONAL_READINESS.md","Eligibility chart for each independent claim.","Map actual claim language to technical mechanisms and eligibility analysis."
EQ-007,P0,102,"Does any single prior-art reference disclose every limitation of a claim?","35 USC 102",OPEN,"No complete single-reference anticipation chart exists for actual claims.","P1/MATERIAL_INFORMATION_REGISTER.csv","Claim-by-claim anticipation charts with verified reference dates.","Expand prior-art set and chart each reference against each claim."
EQ-008,P0,102,"What is the effective filing date of each claimed limitation, including later-added matter?","35 USC 102(d); 119(e); MPEP 211",PARTIAL,"P1 matrix can support this, but actual claim limitations are not mapped.","P1/P1_SUPPORT_MATRIX.csv","Effective-date assignment for each limitation.","Mark P1-supported vs later-only limitation explicitly."
EQ-009,P0,103,"Would the claimed combination have been obvious before the effective filing date?","35 USC 103; MPEP 2141",OPEN,"Research pressure exists, but no final claim-by-claim combination analysis is complete.","P1/MATERIAL_INFORMATION_REGISTER.csv; research/","Reference combinations, reason to combine, reasonable expectation of success, missing limitations.","Create adversarial §103 chart for every independent claim."
EQ-010,P1,103,"Are there objective indicia of nonobviousness, and is there a nexus to the claimed invention?","MPEP 2141 / Graham-KSR framework",OPEN,"Pre-P1 unmet-need/vendor-outreach evidence exists, but nexus to final claims is not established.","research/2026-09-22_pre_filing_persistent_memory_need_and_vendor_outreach_evidence.md","Evidence and nexus for any secondary consideration actually relied upon.","Map only supported evidence to specific claim features."
